tailid;url;language
20785;http://www.bufetat.no/familievernkontor/asker-og-barum/;nb
20824;http://www.elev.no/;nb
20824;http://www.elev.no/organisasjon/english.shtml;en
20838;http://www.ovre-eiker.kommune.no/Modules/admunit.aspx?ObjectType=Object&Object.ID=2272&AdmUnitID=2272;nb
20875;http://www.sor-varanger.kommune.no/servicekontoret.325106-19659.html;nb
20913;https://telefonliste.sandnes.kommune.no/default.aspx?id=1000021;nb
20913;https://www.sandnes.kommune.no/Globalmeny/Om-Sandnes/Om-Sandnes/About-Sandnes/;en
20930;http://www.stange.kommune.no/stange/www/site/service_og_tjenester/servicekontoret/category.php?categoryID=929;nb
20931;http://www.stavanger.kommune.no/Administrasjon/Personal-og-organisasjon/Servicetorget/;nb
20931;http://www.stavanger.kommune.no/English/Service-centre---Servicetorget1/;en
20956;http://www.nordre-land.kommune.no/sentrumsservice.87471.no.html;nb
20976;http://www.mosvik.kommune.no/sitepageview.aspx?sitePageID=1254;nb
20989;http://www.larvik.kommune.no/Om-Larvik/Oversikt-over-enheter/Samfunnskontakt/Servicesenteret/;nb
20997;http://www.lillehammer.kommune.no/index.php?cat=187378;en
20997;http://www.lillehammer.kommune.no/servicetorget/27072/;nb
20998;http://www.lindesnes.kommune.no/organisasjon/raadmannen/servicekontor/45-servicekontor;nb
21105;http://www.pensjonistforbundet.no;nb
21112;http://www.toi.no/;nb
21112;http://www.toi.no/category25.html;en
21114;http://skolenettet.ls.no/;nb
21156;http://www.arran.no/;nb
21156;http://www.arran.no/frontpage.43226.en.html;en
21158;http://www.arkivverket.no/samisk;nb
21159;http://fylkesbiblioteket.sfj.no/;nb
21160;http://www.fm.fylkesbibl.no/web/index.php/fylkesbiblioteket/kontakt;nb
21236;http://www.anonymealkoholikere.no/;nb
21237;http://www.nanorge.org/engelsk.asp;en
21237;http://www.nanorge.org/index.asp;nb
21277;http://www.nsb.no/;nb
21282;http://www.domstol.no/Enkelt-domstol/Jordskiftedomstolene/Om-jordskiftedomstolene/Jordskifterettenes-informasjonssider/Ofoten-og-Sor-Troms-jordskifterett/;nb
21282;http://www.domstol.no/en/Enkelt-domstol/The-land-consolidation-court-of-Norway/;en
21287;http://www.helse-finnmark.no/;nb
21293;http://www.domstol.no/en/Enkelt-domstol/The-land-consolidation-court-of-Norway/;en
21293;http://www.jordskifte.no/;nb
21302;http://www.domstol.no/en/Enkelt-domstol/The-land-consolidation-court-of-Norway/;en
21302;http://www.jordskifte.no/;nb
21303;http://www.nrl-nbr.no/;nb
21304;http://www.domstol.no/en/Enkelt-domstol/The-land-consolidation-court-of-Norway/;en
